University Name,Subject,Ranking Instituion,Year,World Rank,Total Score
University of Colorado at Boulder,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Concepcion,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Crete,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Erlangen-Nuremberg,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Florence,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Freiburg,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Hamburg,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Kansas,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Leeds,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Leipzig,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Lisbon,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Milano-Bicocca,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Montreal,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Nebraska - Lincoln,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Pisa,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Science and Technology Beijing,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Shanghai for Science and Technology,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of the Basque Country,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Tours,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Verona,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Wuppertal,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Vanderbilt University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Wroclaw University of Science and Technology,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Xiamen University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Yantai University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Anhui University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Bar-Ilan University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Beijing Jiaotong University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Beijing University of Posts and Telecommunications,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Boston University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Brandeis University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Capital Normal University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Cardiff University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
China University of Petroleum (Huadong),Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Chung-Ang University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Civil Aviation University of China,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Clemson University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Concordia University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Czech Technical University in Prague,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Donghua University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Ecole des Ponts ParisTech,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Emory University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
F????rat University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Fluminense Federal University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Huzhou University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Indian Statistical Institute,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
INHA University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Islamic Azad University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Jagiellonian University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Jiangsu Normal University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Jilin University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Kyung Hee University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Laval University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Linyi University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Lund University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Moscow State University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Nanjing Normal University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Nanjing University of Aeronautics and Astronautics,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Nanjing University of Information Science & Technology,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Nanjing University of Posts and Telecommunications,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Nicolaus Copernicus University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Northeast Normal University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Oklahoma State University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Peoples' Friendship University of Russia,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Qingdao University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
RWTH Aachen University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Shanghai Normal University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Shenzhen University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Sichuan University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
South China Normal University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
South China University of Technology,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Sungkyunkwan University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Temple University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
The University of Georgia,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
The University of Manchester,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
The University of Memphis,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
The University of New Mexico - Albuquerque,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
The University of Queensland,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
The University of Texas at San Antonio,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
The University of Western Australia,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Ton Duc Thang University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Tongji University,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
Universidad de Santiago de Chile,Mathematics,ShanghaiRanking-ARWU,2020,301-400,
