No.,Institution,Country Region,World Rank,National Rank,Alumni,Award,HiCi,N&S,PUB,PCP,Total Score,Free
173,香港大学The University of Hong Kong,China-hk,151-200,1-2,0.0,0.0,17.5,14.2,43.9,22.5,,免费评估
174,Tokyo Institute of Technology,Japan,151-200,6-7,12.6,0.0,15.9,15.3,37.8,24.0,,免费评估
175,Trinity College Dublin,Ireland,151-200,1,10.3,13.3,12.3,13.1,31.0,19.0,,免费评估
176,University of Barcelona,Spain,151-200,1,0.0,0.0,15.1,11.7,51.6,18.7,,免费评估
177,University of Bern,Switzerland,151-200,6,12.6,0.0,16.3,19.2,41.3,26.9,,免费评估
178,University of Buenos Aires,Argentina,151-200,1,14.5,24.0,0.0,9.7,34.9,21.7,,免费评估
179,特拉华大学University of Delaware,USA,151-200,66-78,10.3,16.3,20.1,10.0,30.8,19.0,,免费评估
180,埃克塞特大学University of Exeter,UK,151-200,18-21,0.0,0.0,17.8,18.4,34.9,23.5,,免费评估
181,University of Gothenburg,Sweden,151-200,5,0.0,15.4,12.3,14.5,41.3,19.7,,免费评估
182,University of Hamburg,Germany,151-200,9-13,11.5,0.0,13.9,21.7,36.6,22.1,,免费评估
183,University of Hawaii at Manoa,USA,151-200,66-78,0.0,0.0,20.1,22.9,36.0,18.7,,免费评估
184,University of Illinois at Chicago,USA,151-200,66-78,0.0,0.0,21.0,14.5,43.7,17.8,,免费评估
185,爱荷华大学University of Iowa,USA,151-200,66-78,0.0,0.0,20.3,18.8,44.7,17.5,,免费评估
186,University of Kiel,Germany,151-200,9-13,10.3,13.3,13.8,13.7,29.7,18.8,,免费评估
187,University of Koeln,Germany,151-200,9-13,0.0,11.5,8.6,19.3,37.1,21.5,,免费评估
188,迈阿密大学University of Miami,USA,151-200,66-78,0.0,0.0,22.0,14.7,39.5,14.8,,免费评估
189,University of Milan,Italy,151-200,1-5,17.0,0.0,14.2,9.6,46.3,21.2,,免费评估
190,University of Padua,Italy,151-200,1-5,0.0,0.0,11.3,16.1,48.2,22.0,,免费评估
191,University of Paris Descartes (Paris 5),France,151-200,7-8,11.5,9.4,12.2,13.5,40.1,15.7,,免费评估
192,University of Pisa,Italy,151-200,1-5,13.6,23.1,7.2,6.5,37.0,22.1,,免费评估
193,University of Science and Technology of China,China,151-200,5-7,0.0,0.0,15.9,13.9,50.8,25.5,,免费评估
194,萨塞克斯大学The University of Sussex,UK,151-200,18-21,0.0,22.4,15.2,12.1,30.3,26.4,,免费评估
195,University of Tennessee - Knoxville,USA,151-200,66-78,10.3,0.0,17.9,14.2,39.2,15.1,,免费评估
196,University of Tuebingen,Germany,151-200,9-13,22.4,0.0,12.2,17.4,41.1,23.7,,免费评估
197,University of Turin,Italy,151-200,1-5,15.4,0.0,16.2,8.5,40.0,20.2,,免费评估
198,University of Vienna,Austria,151-200,1,13.6,0.0,15.9,21.1,36.5,23.9,,免费评估
199,University of Wuerzburg,Germany,151-200,9-13,19.2,0.0,18.9,15.0,33.3,21.1,,免费评估
200,Virginia Commonwealth University,USA,151-200,66-78,10.3,14.1,15.9,7.8,34.3,14.6,,免费评估
201,Autonomous University of Barcelona,Spain,201-300,2-5,0.0,0.0,5.0,12.9,44.5,20.2,,免费评估
202,Autonomous University of Madrid,Spain,201-300,2-5,0.0,0.0,11.3,9.9,39.3,17.3,,免费评估
203,Beijing Normal University,China,201-300,8-13,15.4,0.0,5.0,7.9,38.8,16.1,,免费评估
204,Brandeis University,USA,201-300,79-102,19.2,0.0,8.6,18.8,18.4,24.8,,免费评估
205,Charles University in Prague,Czech,201-300,1,8.9,0.0,0.0,9.0,43.9,19.7,,免费评估
206,香港城市大学City University of Hong Kong,China-hk,201-300,3-4,0.0,0.0,18.1,1.5,38.5,22.1,,免费评估
207,Claude Bernard University Lyon 1,France,201-300,9-15,10.3,0.0,0.0,18.8,40.2,14.8,,免费评估
208,Colorado State University,USA,201-300,79-102,0.0,0.0,20.3,14.2,36.2,20.1,,免费评估
209,Complutense University of Madrid,Spain,201-300,2-5,19.2,0.0,0.0,8.6,42.8,12.4,,免费评估
210,科廷大学Curtin University,Australia,201-300,9-11,0.0,0.0,8.7,12.0,37.1,23.3,,免费评估
211,达尔豪斯大学Dalhousie University,Canada,201-300,7-16,0.0,0.0,12.2,13.1,34.3,17.9,,免费评估
212,达特茅斯学院Dartmouth College,USA,201-300,79-102,17.8,0.0,20.7,14.4,25.4,20.6,,免费评估
213,Delft University of Technology,Netherlands,201-300,9-10,11.5,0.0,8.6,18.1,38.9,21.7,,免费评估
214,杜伦大学Durham University,UK,201-300,22-28,0.0,0.0,19.6,14.6,34.5,21.4,,免费评估
215,Ecole Normale Superieure - Lyon,France,201-300,9-15,0.0,20.0,3.6,14.5,21.8,30.5,,免费评估
216,佛罗里达州立大学Florida State University,USA,201-300,79-102,0.0,0.0,14.6,16.2,37.9,19.4,,免费评估
217,Free University of Brussels,Belgium,201-300,5-6,13.6,0.0,5.0,10.0,31.3,26.9,,免费评估
218,Harbin Institute of Technology,China,201-300,8-13,0.0,0.0,8.7,5.4,48.7,15.2,,免费评估
219,Huazhong University of Science and Technology,China,201-300,8-13,0.0,0.0,0.0,8.7,53.1,16.8,,免费评估
220,印第安纳大学与普渡大学印第安纳波里斯联合分校Indiana University-Purdue University Indianapolis,USA,201-300,79-102,0.0,0.0,7.1,12.8,39.8,14.5,,免费评估
221,Jilin University,China,201-300,8-13,0.0,0.0,0.0,8.9,50.7,13.5,,免费评估
222,Karlsruhe Institute of Technology (KIT),Germany,201-300,14-21,0.0,0.0,12.0,14.9,37.2,20.3,,免费评估
223,Korea Advanced Institute of Science and Technology,SouthKorea,201-300,2-5,0.0,0.0,8.3,14.1,38.8,28.7,,免费评估
224,Korea University,SouthKorea,201-300,2-5,0.0,0.0,8.7,8.7,50.7,22.1,,免费评估
225,KTH Royal Institute of Technology,Sweden,201-300,6-7,0.0,14.9,3.6,10.3,38.3,24.2,,免费评估
226,Kyushu University,Japan,201-300,8-9,0.0,0.0,13.1,12.3,44.2,17.5,,免费评估
227,Laval University,Canada,201-300,7-16,0.0,0.0,15.0,8.6,36.7,16.1,,免费评估
228,Louisiana State University - Baton Rouge,USA,201-300,79-102,0.0,0.0,13.6,14.3,33.4,14.6,,免费评估
229,Maastricht University,Netherlands,201-300,9-10,0.0,0.0,10.7,5.9,41.4,25.1,,免费评估
