Ranking,University English Name,Country/Region,Academic Reputation,Employer Reputation,Faculty Student,International Faculty,International Students,Citations per Faculty,Overall Score,Free
21,伦敦大学国王学院King's College London,United Kingdom,91.8,91.1,88.2,97.6,99.3,71.2,87.7,免费评估
22,澳大利亚国立大学The Australian National University,Australia,99.1,89.6,56.5,100,96.3,86.9,87.3,免费评估
23,"密歇根大学安娜堡分校University of Michigan,Ann Arbor",United States,99.6,89.6,86.7,80.8,37.9,71.7,86.4,免费评估
24,Tsinghua University,China,99,99.2,85.6,43.3,28.1,79.5,86.0,免费评估
24,杜克大学Duke University,United States,94,78.3,99.2,-,56.7,86,86.0,免费评估
26,西北大学Northwestern University,United States,90.2,76.7,94.3,33.4,51.7,94.4,85.7,免费评估
27,The University of Hong Kong,Hong Kong,98.9,93.8,84,100,99.3,47.3,85.4,免费评估
28,"加州大学伯克利分校University of California,Berkeley",United States,100,99.9,31.4,98.1,79.2,99.8,85.2,免费评估
29,曼彻斯特大学The University of Manchester,United Kingdom,97.9,99.7,76.9,90.1,98.6,53.5,84.8,免费评估
30,麦吉尔大学McGill University,Canada,97.3,93.7,68.8,90.9,95.2,63.1,84.1,免费评估
31,"加州大学洛杉矶分校University of California,Los Angeles",United States,100,99.6,61.6,34.1,50.7,87.6,84.0,免费评估
32,多伦多大学University of Toronto,Canada,99.8,92.8,74.5,97.2,93.1,50,83.8,免费评估
33,"Ecole normale supérieure, Paris",France,82.1,71.8,76.6,84.5,65.1,100,82.9,免费评估
34,The University of Tokyo,Japan,100,99.6,92.2,-,-,64.4,82.6,免费评估
35,Seoul National University,South Korea,98.5,96.1,82.1,26,-,72.9,82.1,免费评估
36,The Hong Kong University of Science and Technology,Hong Kong,91.1,86,45.7,100,98.7,87.5,81.8,免费评估
37,Kyoto University,Japan,99.7,92.6,95.3,-,-,60.3,81.7,免费评估
37,伦敦政治经济学院The London School of Economics and Political Science,United Kingdom,88.8,100,57.1,100,100,72.3,81.7,免费评估
39,Peking University,China,99.8,99.8,66.4,53.6,49.6,64.8,81.3,免费评估
40,"加利福尼亚大学圣地亚哥分校University of California,San Diego",United States,95.9,62.8,64.9,52.9,39.1,92.1,80.6,免费评估
41,布里斯托大学University of Bristol,United Kingdom,85.5,94.8,73.8,88.8,82.4,62.7,79.6,免费评估
42,墨尔本大学The University of Melbourne,Australia,99.7,99.2,27.5,82.6,99.3,75.1,79.5,免费评估
43,Fudan University,China,90.8,95.3,65.6,66.7,46.5,73.9,79.4,免费评估
44,The Chinese University of Hong Kong (CUHK),Hong Kong,92.4,82,65.9,99.5,79.9,53.4,78.1,免费评估
45,英属哥伦比亚大学University of British Columbia,Canada,99.1,95.5,38.1,87.2,68.3,66.8,78.0,免费评估
46,悉尼大学The University of Sydney,Australia,99.1,98.1,25.7,99.8,94.9,67.1,77.9,免费评估
46,纽约大学New York University,United States,97.3,96.2,95,-,82.4,28.3,77.9,免费评估
46,KAIST - Korea Advanced Institute of Science & Technology,South Korea,85.5,83,69.2,23.5,-,99.9,77.9,免费评估
49,新南威尔士大学The University of New South Wales,Australia,95.3,98.7,-,100,95.2,77.1,77.8,免费评估
49,布朗大学Brown University,United States,73.5,68.3,78.2,69,66.7,95.5,77.8,免费评估
51,昆士兰大学The University of Queensland,Australia,93.4,82.7,33.1,100,84.6,79.9,77.6,免费评估
51,华威大学The University of Warwick,United Kingdom,83.9,98.9,62.9,96,99,58.2,77.6,免费评估
53,威斯康星大学-麦迪逊分校University of Wisconsin-Madison,United States,94.5,55.5,84.2,52.7,33.1,56.4,75.7,免费评估
53,Ecole Polytechnique,France,62.7,99.6,99.4,96.9,90.9,56,75.7,免费评估
55,City University of Hong Kong,Hong Kong,64.8,43.9,83,100,98.4,91.4,75.4,免费评估
56,Tokyo Institute of Technology,Japan,82.7,77.4,90.4,25.3,26.3,67.5,74.9,免费评估
57,University of Amsterdam,Netherlands,91.4,77.5,42.8,72.4,35.3,80.2,74.3,免费评估
58,卡内基梅隆大学Carnegie Mellon University,United States,83.8,81.4,35.1,32.2,99.8,94.1,74.2,免费评估
59,"西雅图华盛顿大学University of Washington,Seattle Campus",United States,91.8,52.8,45.7,40.6,47.5,92,73.9,免费评估
60,Technical University of Munich,Germany,85,97.6,86.4,53.7,57,28.9,72.4,免费评估
61,Shanghai Jiao Tong University,China,87.1,95.7,37.3,71,-,80.1,72.2,免费评估
62,Delft University of Technology,Netherlands,75.6,86.9,28.3,96.5,74.8,94.2,72.1,免费评估
63,Osaka University,Japan,88.6,68.2,83.1,-,-,57,71.7,免费评估
63,格拉斯哥大学University of Glasgow,United Kingdom,80,63,61.6,91.2,96.9,57.6,71.7,免费评估
