rankingName,rankingUrlCode,rankingYear,subject,rankingUrl,csvFileName
TIMES-Subject,times,2011,伊比利亚语言学Iberian Languages,https://ranking.promisingedu.com/2011-times-en-undergraduate-iberian_languages,TIMES_2011_伊比利亚语言学Iberian Languages.csv
TIMES-Subject,times,2011,意大利语Italian,https://ranking.promisingedu.com/2011-times-en-undergraduate-italian,TIMES_2011_意大利语Italian.csv
TIMES-Subject,times,2011,土地及物业管理Land and Property Management,https://ranking.promisingedu.com/2011-times-en-undergraduate-land_and_property_management,TIMES_2011_土地及物业管理Land and Property Management.csv
TIMES-Subject,times,2011,法律Law,https://ranking.promisingedu.com/2011-times-en-undergraduate-law,TIMES_2011_法律Law.csv
TIMES-Subject,times,2011,图书馆和信息管理Librarianship and Information Management,https://ranking.promisingedu.com/2011-times-en-undergraduate-librarianship_and_information_management,TIMES_2011_图书馆和信息管理Librarianship and Information Management.csv
TIMES-Subject,times,2011,语言学Linguistics,https://ranking.promisingedu.com/2011-times-en-undergraduate-linguistics,TIMES_2011_语言学Linguistics.csv
TIMES-Subject,times,2011,材料工艺学Materials Technology,https://ranking.promisingedu.com/2011-times-en-undergraduate-materials_technology,TIMES_2011_材料工艺学Materials Technology.csv
TIMES-Subject,times,2011,数学Mathematics,https://ranking.promisingedu.com/2011-times-en-undergraduate-mathematics,TIMES_2011_数学Mathematics.csv
TIMES-Subject,times,2011,机械工程Mechanical Engineering,https://ranking.promisingedu.com/2011-times-en-undergraduate-mechanical_engineering,TIMES_2011_机械工程Mechanical Engineering.csv
TIMES-Subject,times,2011,医学Medicine,https://ranking.promisingedu.com/2011-times-en-undergraduate-medicine,TIMES_2011_医学Medicine.csv
TIMES-Subject,times,2011,中东与非洲研究Middle East and African Studies,https://ranking.promisingedu.com/2011-times-en-undergraduate-middle_east_and_african_studies,TIMES_2011_中东与非洲研究Middle East and African Studies.csv
TIMES-Subject,times,2011,音乐Music,https://ranking.promisingedu.com/2011-times-en-undergraduate-music,TIMES_2011_音乐Music.csv
TIMES-Subject,times,2011,护理学Nursing,https://ranking.promisingedu.com/2011-times-en-undergraduate-nursing,TIMES_2011_护理学Nursing.csv
TIMES-Subject,times,2011,医学相关专业Other Subjects allied to Medicine,https://ranking.promisingedu.com/2011-times-en-undergraduate-other_subjects_allied_to_medicine,TIMES_2011_医学相关专业Other Subjects allied to Medicine.csv
TIMES-Subject,times,2011,药理学与药剂学Pharmacology and Pharmacy,https://ranking.promisingedu.com/2011-times-en-undergraduate-pharmacology_and_pharmacy,TIMES_2011_药理学与药剂学Pharmacology and Pharmacy.csv
TIMES-Subject,times,2011,哲学Philosophy,https://ranking.promisingedu.com/2011-times-en-undergraduate-philosophy,TIMES_2011_哲学Philosophy.csv
